a52dec 0.7.4-10
man-db 2.9.1-2
man-pages 5.06-2
mate-calc 1.24.0-1
materia-gtk-theme 20200320-1
materia-kde 20200312-1
mc 4.8.24-2
md4c 0.4.3-1
mdadm 4.1-2
media-player-info 24-1
medit 1.2.0-7
meld 3.20.2-1
memtest86+ 5.01-3
mesa 20.0.6-2
minecraft-launcher 2.1.13509-1
minizip 1:1.2.11-4
mintstick-git r201.fd46357-1
mjpegtools 2.1.0-4
mkinitcpio 27-3
mkinitcpio-busybox 1.31.1-1
mkinitcpio-nfs-utils 0.3-7
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-3
mobile-broadband-provider-info 20190618-1
modemmanager 1.12.10-1
moka-icon-theme 5.4.0-1
mozilla-common 1.4-5
mpd 0.21.23-4
mpfr 4.0.2-2
mpg123 1.25.13-1
mpv 1:0.32.0-4
msodbcsql 17.4.2.1-1
mssql-server 15.0.4033.1-1
mssql-tools 17.4.1.1-1
mtdev 1.1.6-1
mtools 4.0.24-1
mtpfs 1.1-3
mujs 1.0.6-1
nano 4.9.2-1
nbd 3.20-2
ncmpcpp 0.8.2-12
ncurses 6.2-1
ndctl 68-2
ndisc6 1.0.4-1
neofetch 7.0.0-1
neon 0.31.1-1
net-snmp 5.8-4
net-tools 1.60.20181103git-2
netctl 1.23-1
nettle 3.6-1
network-manager-applet 1.16.0-1
networkmanager 1.24.0-1
networkmanager-dispatcher-ntpd 1.0-7
networkmanager-openconnect 1.2.6-1
networkmanager-openvpn 1.8.12-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-1
networkmanager-vpnc 1.2.7dev+20+gdca3aea-1
neverball 1.6.0-4
nfs-utils 2.4.3-2
nfsidmap 2.4.3-2
nilfs-utils 2.2.8-2
nm-connection-editor 1.16.0-1
node-gyp 6.1.0-1
nodejs 14.2.0-1
noto-fonts 20190926-4
npm 6.14.5-1
npth 1.6-2
nspr 4.25-1
nss 3.52-1
nss-mdns 0.14.1-2
ntfs-3g 2017.3.23-4
ntp 4.2.8.p14-1
numactl 2.0.13-3
numix-circle-arc-icons-git 20.1-1
numix-circle-icon-theme-git 0.r54.cc59306-1
numix-gtk-theme-git 2.6.7.r51.b652b19-1
numix-icon-theme-git 0.r1994.ea068b43a-1
numlockx 1.2-5
nvidia 440.82-12
nvidia-settings 440.82-1
nvidia-utils 440.82-1
oniguruma 6.9.5_rev1-1
openal 1.20.1-2
openconnect 1:8.05-1
opencore-amr 0.1.5-3
openexr 2.4.1-2
openjpeg2 2.3.1-1
openmpi 4.0.3-1
openresolv 3.10.0-1
openssh 8.2p1-3
openssl 1.1.1.g-1
openssl-1.0 1.0.2.u-1
openvpn 2.4.9-2
opera-ffmpeg-codecs 81.0.4044.129-1
opus 1.3.1-1
orc 0.4.31-1
os-prober 1.77-1
oxy-neon 0-2
p11-kit 0.23.20-5
p7zip 16.02-5
pacman 5.2.1-5
pacman-contrib 1.3.0-1
pacman-mirrorlist 20200411-1
pacutils 0.9.0-1
pam 1.3.1-2
pamac-aur 9.4.2-1
pambase 20190105.1-2
pango 1:1.44.7+11+g73b46b04-1
pangomm 2.42.1-2
paper-icon-theme 1.5.0-2
papirus-icon-theme 20200430-1
partclone 0.3.12-1
parted 3.3-1
partimage 0.6.9-12
patch 2.7.6-8
pavucontrol 1:4.0-1
pbzip2 1.1.13-2
pciutils 3.6.4-1
pcre 8.44-1
pcre2 10.34-3
pcsclite 1.8.26-1
perl 5.30.2-1
perl-alien-build 2.22-1
perl-alien-libxml2 0.16-1
perl-capture-tiny 0.48-2
perl-clone 0.45-1
perl-curses 1.36-7
perl-data-dump 1.23-5
perl-dbi 1.643-1
perl-encode-locale 1.05-5
perl-error 0.17029-1
perl-ffi-checklib 0.26-1
perl-file-chdir 0.1011-3
perl-file-listing 6.04-6
perl-file-which 1.23-2
perl-html-parser 3.72-8
perl-html-tagset 3.20-8
perl-http-cookies 6.08-1
perl-http-daemon 6.06-1
perl-http-date 6.05-1
perl-http-message 6.22-1
perl-http-negotiate 6.01-6
perl-io-html 1.001-5
perl-io-socket-ssl 2.066-1
perl-json 2.97001-1
perl-libwww 6.44-1
perl-log-message 0.08-5
perl-log-message-simple 0.10-5
perl-lwp-mediatypes 6.02-6
perl-lwp-protocol-https 6.07-3
perl-mailtools 2.21-2
perl-net-http 6.19-2
perl-net-ssleay 1.88-1
perl-path-tiny 0.112-1
perl-term-animation 2.6-6
perl-term-readline-gnu 1.36-3
perl-term-ui 0.46-5
perl-timedate 2.32-1
perl-try-tiny 0.30-3
perl-uri 1.76-2
